sample_id,layout_points,structure,fixture,sequence,design,p_sim_mm,pass_in_model,efficiency_factor,current_factor,voltage_factor,travel_speed_factor,conductivity_factor_q235b,conductivity_factor_qt450_10,alpha_factor_q235b,alpha_factor_qt450_10,young_factor_q235b,young_factor_qt450_10,fixture_stiffness_factor,initial_eccentricity_mm
2,6,flex,compliant,S3,flex-compliant-6P-S3,0.019695,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,8,baseline,rigid,S1,baseline-rigid-8P-S1,0.067891,False,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,8,baseline,rigid,S2,baseline-rigid-8P-S2,0.024445,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,8,baseline,rigid,S3,baseline-rigid-8P-S3,0.024445,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,8,baseline,compliant,S1,baseline-compliant-8P-S1,0.054721,False,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,8,baseline,compliant,S2,baseline-compliant-8P-S2,0.021632,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,8,baseline,compliant,S3,baseline-compliant-8P-S3,0.021632,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,8,flex,rigid,S1,flex-rigid-8P-S1,0.048807,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,8,flex,rigid,S2,flex-rigid-8P-S2,0.020406,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,8,flex,rigid,S3,flex-rigid-8P-S3,0.020406,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,8,flex,compliant,S1,flex-compliant-8P-S1,0.040052,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,8,flex,compliant,S2,flex-compliant-8P-S2,0.018638,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,8,flex,compliant,S3,flex-compliant-8P-S3,0.018638,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
3,4,baseline,rigid,S1,baseline-rigid-4P-S1,0.03534,True,0.9042057299607142,1.0456415838209274,0.9032878385718132,1.0212198578912401,0.9876915352900668,1.0715900769362972,1.0348861443270798,1.0121025890029993,0.9703725556142003,1.018036323955995,0.9026754943651073,-0.0014695943496611172
