candidate,resolution,thermal_source,material_scenario,restraint_pattern,foundation_n_mm3,position_sensitivity_diameter_mm,bore_fit_rms_mm,relative_linear_residual,maximum_displacement_mm,formal_welding_residual_prediction
Continuous,coarse,fvm,low_expansion_high_yield,hemisphere_30,1000000.0,0.0014383030900192637,0.00045797818739860374,7.736741314694496e-15,0.007851348747462936,False
Continuous,coarse,fvm,low_expansion_high_yield,hemisphere_60,1000000.0,0.0014487268032441773,0.00045700545489478945,7.439229223573702e-15,0.007836575478766603,False
Continuous,coarse,fvm,low_expansion_high_yield,hemisphere_90,1000000.0,0.001464623560125469,0.0004566934784633794,7.598310676201291e-15,0.007795037883505929,False
Continuous,coarse,fvm,high_expansion_low_yield,uniform_half,1000000.0,2.9585305162934275e-05,0.00038100048033069437,8.805192078208945e-15,0.005926646596926554,False
Continuous,coarse,fvm,high_expansion_low_yield,uniform_full,1000000.0,4.2714902988211695e-05,0.00024118179465132506,7.488755857991655e-15,0.006029751100586918,False
Continuous,coarse,fvm,high_expansion_low_yield,hemisphere_0,1000000.0,0.007473698995981599,0.0005338740387936208,8.016267826496588e-15,0.007488381432223854,False
Continuous,coarse,fvm,high_expansion_low_yield,hemisphere_30,1000000.0,0.007483491626975292,0.0005340866222807701,7.771140271317549e-15,0.007540916721502214,False
Continuous,coarse,fvm,high_expansion_low_yield,hemisphere_60,1000000.0,0.007511050912432653,0.0005279387200384211,7.743834625885539e-15,0.00750958422942207,False
Continuous,coarse,fvm,high_expansion_low_yield,hemisphere_90,1000000.0,0.007503857503251688,0.0005277034851005678,7.967709758159488e-15,0.00749061426237862,False
Continuous,coarse,elmer,nominal,uniform_half,1000000.0,2.8072235706991216e-05,0.0003143168447906917,7.701609219998708e-15,0.0049236879314604465,False
Continuous,coarse,elmer,nominal,uniform_full,1000000.0,5.6037048950177095e-05,0.0004665764071791667,6.8652597560799954e-15,0.007268894243268712,False
Continuous,coarse,elmer,nominal,hemisphere_0,1000000.0,0.0029099556583439276,0.00041628361673547664,7.209693102723034e-15,0.006824582378641662,False
Continuous,coarse,elmer,nominal,hemisphere_30,1000000.0,0.0029163254252339314,0.00041620767222746,7.18419636544889e-15,0.006828910983413141,False
Continuous,coarse,elmer,nominal,hemisphere_60,1000000.0,0.002930868886839776,0.0004143998311493483,7.0715702267440585e-15,0.00682780445487116,False
Continuous,coarse,elmer,nominal,hemisphere_90,1000000.0,0.0029528322615722815,0.00041394493178708463,6.8847760738217745e-15,0.006769013424086583,False
Continuous,coarse,elmer,low_expansion_high_yield,uniform_half,1000000.0,2.816205507283058e-05,0.0002985237095844644,7.473744910788667e-15,0.004675118947854674,False
Continuous,coarse,elmer,low_expansion_high_yield,uniform_full,1000000.0,4.0444052687560716e-05,0.0005675321511472952,7.978147730625518e-15,0.008744329588714446,False
Continuous,coarse,elmer,low_expansion_high_yield,hemisphere_0,1000000.0,0.0013641574605669437,0.00043751251524297733,7.795450380162388e-15,0.007549191608433785,False
Continuous,coarse,elmer,low_expansion_high_yield,hemisphere_30,1000000.0,0.0013746781400365057,0.0004368530624260568,8.01323086280086e-15,0.00753935851035263,False
Continuous,coarse,elmer,low_expansion_high_yield,hemisphere_60,1000000.0,0.0013843909471038635,0.0004355865883630152,7.859564374587758e-15,0.007521253785532114,False
