thermal_source,material_scenario,restraint_pattern,foundation_n_mm3,a,b,signed_a_minus_b_mm,resolution_scale_mm,order
fvm,high_expansion_low_yield,uniform_half,1000000.0,Continuous,8P-FAIR_B,1.101642904386164e-05,0.0010238818953569183,0
fvm,low_expansion_high_yield,hemisphere_0,10000.0,Continuous,8P-FAIR_B,-3.157147388020004e-05,0.0011360708235355998,0
fvm,low_expansion_high_yield,hemisphere_0,1000000.0,Continuous,8P-FAIR_B,-0.0006740149640539,0.0010994885311535001,0
fvm,low_expansion_high_yield,hemisphere_30,10000.0,Continuous,8P-FAIR_B,-6.338886482270016e-05,0.0011449302292973,0
fvm,low_expansion_high_yield,hemisphere_30,1000000.0,Continuous,8P-FAIR_B,-0.0006182218693701,0.0011044557274384002,0
fvm,low_expansion_high_yield,hemisphere_60,10000.0,Continuous,8P-FAIR_B,-3.8190864917900334e-05,0.0011154724859479001,0
fvm,low_expansion_high_yield,hemisphere_60,1000000.0,Continuous,8P-FAIR_B,-0.0006022340243654,0.0010710890915484,0
fvm,low_expansion_high_yield,hemisphere_90,10000.0,Continuous,8P-FAIR_B,2.5869324056900216e-05,0.0011392288757819998,0
fvm,low_expansion_high_yield,hemisphere_90,1000000.0,Continuous,8P-FAIR_B,-0.0006181773738106,0.0011032077508414003,0
fvm,low_expansion_high_yield,uniform_full,10000.0,Continuous,8P-FAIR_B,2.5299928198822053e-05,0.0010261755321970367,0
fvm,low_expansion_high_yield,uniform_full,1000000.0,Continuous,8P-FAIR_B,3.930954073255503e-06,0.001015595276128397,0
fvm,low_expansion_high_yield,uniform_half,10000.0,Continuous,8P-FAIR_B,2.7247311619166413e-05,0.0010111803718885243,0
fvm,low_expansion_high_yield,uniform_half,1000000.0,Continuous,8P-FAIR_B,2.1541306655308994e-05,0.0010079296426905794,0
fvm,nominal,hemisphere_0,10000.0,Continuous,8P-FAIR_B,-0.00010016107974429936,0.0012396405205224994,0
fvm,nominal,hemisphere_0,1000000.0,Continuous,8P-FAIR_B,-0.0012086195787372996,0.0012230019306191,0
fvm,nominal,hemisphere_30,10000.0,Continuous,8P-FAIR_B,-0.00015909565804040054,0.0012047109359668,0
fvm,nominal,hemisphere_30,1000000.0,Continuous,8P-FAIR_B,-0.0010872480785760002,0.0011756850590621997,0
