time_s,probe,s_mm,n_mm,z_mm,material_id,birth_fraction,elmer_common_c,fvm_common_c,delta_common_c,elmer_native_c,fvm_native_c,delta_native_c
21.7,weld_center,0.0,-0.5,0.5,3,1.0,1118.610923632207,1252.1016368569576,-133.4907132247506,1180.442594612495,1252.10163685696,-71.65904224446513
21.7,qt_near_interface,0.0,-0.2,-0.2,2,1.0,904.4438490132378,1034.0503625789268,-129.60651356568894,917.4464693761862,1034.05036257893,-116.60389320274373
21.7,qt_far,0.0,-1.0,-1.0,2,1.0,774.4611688341727,841.7397529187233,-67.27858408455063,768.3323908338343,841.739752918723,-73.40736208488863
21.7,q235_near_interface,0.0,0.2,0.0,1,1.0,781.4852051983199,795.1800354804254,-13.6948302821055,823.7670577259537,795.180035480426,28.58702224552769
21.7,q235_far,0.0,1.0,0.0,1,1.0,644.9593647702965,656.3609979702112,-11.401633199914727,658.3289024813681,656.360997970211,1.967904511157144
21.8,weld_center,0.0,-0.5,0.5,3,1.0,1118.1434641417306,1251.0270145037696,-132.88355036203893,1181.0212684005407,1251.02701450377,-70.00574610322928
21.8,qt_near_interface,0.0,-0.2,-0.2,2,1.0,907.0925121732192,1036.3170489735512,-129.22453680033198,921.1058649834824,1036.31704897355,-115.21118399006764
21.8,qt_far,0.0,-1.0,-1.0,2,1.0,777.3054137086872,844.3351448311967,-67.02973112250947,772.2996660036873,844.335144831197,-72.03547882750968
21.8,q235_near_interface,0.0,0.2,0.0,1,1.0,784.7255623091839,798.3516000889273,-13.626037779743342,827.6905668049071,798.351600088927,29.338966715980177
21.8,q235_far,0.0,1.0,0.0,1,1.0,648.6610051371252,660.0156331383179,-11.354628001192623,662.4922023991724,660.015633138318,2.476569260854376
21.9,weld_center,0.0,-0.5,0.5,3,1.0,1116.3649643025387,1248.9150837083614,-132.55011940582267,1179.3863453985527,1248.91508370836,-69.5287383098073
21.9,qt_near_interface,0.0,-0.2,-0.2,2,1.0,908.6959706804952,1037.429920461266,-128.73394978077079,923.1825028221559,1037.42992046127,-114.24741763911413
21.9,qt_far,0.0,-1.0,-1.0,2,1.0,779.3969107725688,846.1237731100947,-66.72686233752586,775.3045670215781,846.123773110094,-70.8192060885159
21.9,q235_near_interface,0.0,0.2,0.0,1,1.0,787.109461278585,800.7610620773298,-13.65160079874488,830.3144643050963,800.76106207733,29.55340222776624
