time_s,probe,s_mm,n_mm,z_mm,material_id,birth_fraction,elmer_common_c,fvm_common_c,delta_common_c,elmer_native_c,fvm_native_c,delta_native_c
22.5,line_20,0.0,0.5,1.5,1,1.0,758.5846643004828,770.0967253646131,-11.512061064130307,781.1953324242787,nan,nan
22.5,line_21,0.0,0.6,1.6,1,1.0,740.3347931240577,750.9582268513769,-10.623433727319252,751.8683774650057,nan,nan
22.5,line_22,0.0,0.7,1.7,1,1.0,719.1715103823814,729.1071270914865,-9.935616709105147,725.2036298500486,nan,nan
22.5,line_23,0.0,0.8,1.8,1,1.0,698.4147759618094,707.6794447652934,-9.264668803484028,704.5450855164476,nan,nan
22.5,line_24,0.0,0.9,1.9,1,1.0,678.2082776927649,688.2889178958666,-10.080640203101666,688.5773875373177,nan,nan
22.5,line_25,0.0,1.0,2.0,1,1.0,658.374480311356,668.5232488212617,-10.148768509905722,673.1679610884786,nan,nan
22.6,weld_center,0.0,-0.5,0.5,3,1.0,1005.2755772274257,1085.095937857339,-79.82036062991335,1037.3008951367221,1085.09593785734,-47.79504272061786
22.6,qt_near_interface,0.0,-0.2,-0.2,2,1.0,805.7726493576932,885.2806629446541,-79.50801358696083,803.0440316385757,885.280662944655,-82.23663130607929
22.6,qt_far,0.0,-1.0,-1.0,2,1.0,719.5827856690651,762.8180321605504,-43.23524649148533,715.6498332224287,762.81803216055,-47.16819893812135
22.6,q235_near_interface,0.0,0.2,0.0,1,1.0,713.2490307318255,718.0563364764323,-4.807305744606765,734.0332004674918,718.056336476433,15.976863991058849
22.6,q235_far,0.0,1.0,0.0,1,1.0,632.6923775698687,638.9460241703104,-6.253646600441698,643.9032613776862,638.94602417031,4.957237207376238
22.700000000000003,weld_center,0.0,-0.5,0.5,3,1.0,997.6439326298923,1073.05644852323,-75.41251589333774,1024.502709112704,1073.0564485232296,-48.55373941052562
22.700000000000003,qt_near_interface,0.0,-0.2,-0.2,2,1.0,802.2992292348556,879.0715817572975,-76.7723525224419,797.9995352541463,879.0715817572977,-81.07204650315145
22.700000000000003,qt_far,0.0,-1.0,-1.0,2,1.0,717.0842488575413,758.7170144087894,-41.6327655512481,712.5559093313384,758.7170144087889,-46.16110507745054
22.700000000000003,q235_near_interface,0.0,0.2,0.0,1,1.0,711.4938751328967,715.3089426173148,-3.815067484418023,730.8918093937377,715.3089426173149,15.582866776422861
22.700000000000003,q235_far,0.0,1.0,0.0,1,1.0,632.3483290627676,637.9097926121025,-5.561463549334917,642.9487451686989,637.909792612102,5.0389525565968825
22.8,weld_center,0.0,-0.5,0.5,3,1.0,988.2802634449662,1060.2711569039545,-71.99089345898835,1011.1631188372536,1060.27115690395,-49.108038066696395
22.8,qt_near_interface,0.0,-0.2,-0.2,2,1.0,798.0112934204627,872.2814445380974,-74.27015111763467,792.3482167269725,872.281444538098,-79.93322781112545
22.8,qt_far,0.0,-1.0,-1.0,2,1.0,713.9222927562708,754.1730374408553,-40.25074468458445,708.9583399426106,754.173037440855,-45.21469749824439
22.8,q235_near_interface,0.0,0.2,0.0,1,1.0,709.1574831670322,712.1872923215129,-3.029809154480745,727.2592949155226,712.187292321513,15.072002594009518
22.8,q235_far,0.0,1.0,0.0,1,1.0,631.6495202665894,636.5987628250024,-4.949242558412948,641.6625966667772,636.598762825002,5.063833841775136
22.900000000000002,weld_center,0.0,-0.5,0.5,3,1.0,977.5838815940926,1046.698273770197,-69.11439217610427,997.4749489601594,1046.6982737701996,-49.22332481004025
22.900000000000002,qt_near_interface,0.0,-0.2,-0.2,2,1.0,792.8648066952402,864.7978777436632,-71.93307104842302,786.0867563141237,864.7978777436637,-78.71112142953996
22.900000000000002,qt_far,0.0,-1.0,-1.0,2,1.0,710.0867014143081,749.1038863258663,-39.01718491155816,704.7904484051467,749.1038863258658,-44.31343792071914
22.900000000000002,q235_near_interface,0.0,0.2,0.0,1,1.0,706.2020348122635,708.6256704196668,-2.4236356074032983,723.1046696885383,708.6256704196669,14.478999268871348
22.900000000000002,q235_far,0.0,1.0,0.0,1,1.0,630.5420280591868,634.9568446144212,-4.414816555234438,639.9910011694702,634.9568446144209,5.0341565550493215
23.0,weld_center,0.0,-0.5,0.5,3,1.0,966.0474675439806,1032.4667801126811,-66.41931256870055,983.4946576572679,1032.46678011268,-48.97212245541209
23.0,qt_near_interface,0.0,-0.2,-0.2,2,1.0,787.0294446655537,856.6723546978994,-69.64291003234575,779.3285698417528,856.6723546979,-77.34378485614718
23.0,qt_far,0.0,-1.0,-1.0,2,1.0,705.6977176127382,743.530491063994,-37.832773451255775,700.1079088981393,743.530491063994,-43.42258216585469
23.0,q235_near_interface,0.0,0.2,0.0,1,1.0,702.7374557924046,704.6523209999822,-1.9148652075775772,718.5097077746262,704.652320999982,13.857386774644283
23.0,q235_far,0.0,1.0,0.0,1,1.0,629.0621873717841,632.9891504179626,-3.9269630461784573,637.959259675922,632.989150417962,4.970109257959962
23.0,line_00,0.0,-1.5,-0.5,2,1.0,751.7555769752678,780.4003324802685,-28.644755505000717,790.825433464989,nan,nan
23.0,line_01,0.0,-1.4,-0.4,2,1.0,776.1833407960863,805.1623007223291,-28.978959926242737,819.2829748998778,nan,nan
23.0,line_02,0.0,-1.3,-0.3,2,1.0,791.0190904506819,822.6077904602864,-31.58870000960451,848.0163655736608,nan,nan
23.0,line_03,0.0,-1.2,-0.2,2,1.0,806.4560782323082,840.573611747755,-34.11753351544678,868.541258607942,nan,nan
23.0,line_04,0.0,-1.1,-0.1,2,1.0,818.9279395825164,857.9616803463678,-39.03374076385137,887.7088115226006,nan,nan
23.0,line_05,0.0,-1.0,0.0,3,1.0,867.3336221266464,950.6024524525355,-83.2688303258891,904.6599319514048,nan,nan
23.0,line_06,0.0,-0.9,0.1,3,1.0,919.0322124432233,1000.6764265675399,-81.64421412431659,936.7391940996039,nan,nan
23.0,line_07,0.0,-0.8,0.2,3,1.0,942.2713996679132,1020.8188894273077,-78.54748975939447,961.0859904273107,nan,nan
23.0,line_08,0.0,-0.7,0.3,3,1.0,962.7399497835028,1037.9658006711181,-75.22585088761537,977.0978564147559,nan,nan
23.0,line_09,0.0,-0.6,0.4,3,1.0,967.3329142318738,1038.3387159481476,-71.00580171627382,984.5906141103108,nan,nan
23.0,line_10,0.0,-0.5,0.5,3,1.0,966.0474675439806,1032.4667801126811,-66.41931256870055,983.4946576572594,nan,nan
23.0,line_11,0.0,-0.4,0.6,3,1.0,961.0005910702321,1022.5541010558442,-61.553509985612095,973.7201306359773,nan,nan
23.0,line_12,0.0,-0.3,0.7,3,1.0,943.8640402897687,1000.3085500941468,-56.44450980437807,955.7855405338843,nan,nan
23.0,line_13,0.0,-0.2,0.8,3,1.0,919.4055367171668,970.2644077276565,-50.85887101048968,930.3357600194665,nan,nan
23.0,line_14,0.0,-0.1,0.9,3,1.0,884.2685036071495,931.391501673771,-47.12299806662156,897.1838854898606,nan,nan
23.0,line_15,0.0,0.0,1.0,1,1.0,801.2953544641646,809.623792502906,-8.32843803874141,856.4884865727383,nan,nan
23.0,line_16,0.0,0.1,1.1,1,1.0,790.3072071983394,798.272884792569,-7.965677594229646,842.277891388572,nan,nan
23.0,line_17,0.0,0.2,1.2,1,1.0,779.0042442733136,786.2993642505816,-7.295119977267973,824.230008874359,nan,nan
23.0,line_18,0.0,0.3,1.3,1,1.0,772.0773151821227,779.3925657109872,-7.315250528864567,802.2830257065375,nan,nan
23.0,line_19,0.0,0.4,1.4,1,1.0,756.2950365613635,763.012307078132,-6.717270516768508,780.3988784315816,nan,nan
23.0,line_20,0.0,0.5,1.5,1,1.0,741.8315064086527,748.1254257920683,-6.293919383415641,756.0196041485258,nan,nan
23.0,line_21,0.0,0.6,1.6,1,1.0,725.5278205867752,731.2541115733203,-5.726290986545109,731.1066824140871,nan,nan
23.0,line_22,0.0,0.7,1.7,1,1.0,706.6571411605793,712.0242425449185,-5.3671013843392075,708.4692123485225,nan,nan
23.0,line_23,0.0,0.8,1.8,1,1.0,688.149796108626,693.1674162800301,-5.017620171404133,690.6519062538448,nan,nan
23.0,line_24,0.0,0.9,1.9,1,1.0,670.0014043422219,676.0364877420851,-6.035083399863197,676.5723612320293,nan,nan
23.0,line_25,0.0,1.0,2.0,1,1.0,652.2634692208852,658.6162521761396,-6.3527829552543835,662.9949714498836,nan,nan
23.1,weld_center,0.0,-0.5,0.5,3,1.0,953.9367463200236,1017.7206522676305,-63.783905947606854,969.2281864759822,1017.72065226763,-48.492465791647874
23.1,qt_near_interface,0.0,-0.2,-0.2,2,1.0,780.6661814277209,848.0103245965526,-67.34414316883169,772.1686685684082,848.010324596553,-75.84165602814483
23.1,qt_far,0.0,-1.0,-1.0,2,1.0,700.864703022352,737.5153911986242,-36.65068817627218,694.9915554101422,737.515391198624,-42.52383578848185
23.1,q235_near_interface,0.0,0.2,0.0,1,1.0,698.872051633749,700.326618230284,-1.45456659653496,713.5546782271684,700.326618230284,13.22805999688444
23.1,q235_far,0.0,1.0,0.0,1,1.0,627.2659399125623,630.7294746140135,-3.463534701451181,635.6144253684084,630.729474614014,4.884950754394481
23.200000000000003,weld_center,0.0,-0.5,0.5,3,1.0,941.4121941535032,1002.5851919119033,-61.17299775840013,954.7047915508658,1002.5851919118994,-47.880400361033594
